documentId	versionId	documentIdentity	ordinal	chunkId	headingPath	start	end	chars	contentSha256	chunkingVersion	bodyTextVersion
gold-001	version-gold-001-v1	d41ddecf0d6e42410b0a3af2a676a7feec5ba47255e89d3d6d5ec0ef52cbc88c	0	95fe5a41b7c23e50240fb7d1dd94884a47a16619c757019fdbff6e241afebe44	Hồ sơ quy trình mua sắm số 01 > Thông tin đã phê duyệt	74	271	157	a0629613d985dce6ec2a12717791d44f737ccf5520a9b79f29ed55b5713ecb55	heading-chunks-2000-v1	nfc-v1
gold-002	version-gold-002-v1	d3528149328a41c3c2afde2adc9f991fef14dde48f35cb18b4b84948d68249ab	0	de1d3a3b65554348254be1725fa63506f73811003bbac1102b84cff769f43eba	Hồ sơ kiểm soát truy cập số 02 > Thông tin đã phê duyệt	77	281	165	f9d729c9323682645e18753e610c14ee39c035d15520329ce58283112d905cd6	heading-chunks-2000-v1	nfc-v1
gold-003	version-gold-003-v1	ce542ed36a65fefa1dc2802b140ea22f803a4c46342b79e4c935d4e07da21a89	0	4f023c4012174136412c629ead25325ee2a43dffa959d6511cc116b2bb0fca4b	Hồ sơ đào tạo nhân sự số 03 > Thông tin đã phê duyệt	76	272	155	0d8ae874fe5ee0137cd26c04223512364fa739be0a0b4d9b774805be693698f2	heading-chunks-2000-v1	nfc-v1
gold-004	version-gold-004-v1	d589fbcc54eddcb0a89feab8719d3d8fb447d12c03a7d6956b0bc4faefdbc278	0	b4effdb6a39d498f5a09b87ea52632b8f0e15047b5414999ca1906ccc9762ab7	Hồ sơ sao lưu dữ liệu số 04 > Thông tin đã phê duyệt	74	276	160	5558fd29c8bb6be2aa4f9d63f33f941589607331522f586eeccec3a50a82bcf8	heading-chunks-2000-v1	nfc-v1
gold-005	version-gold-005-v1	7fa0ec6257016188fcd08b9a736d40fd1229bbd777ffb1d693c70f8277fb9cc7	0	13e31df422c359196842add6330c51e86570e01feb1b231de96f054d644c8627	Hồ sơ quản lý hợp đồng số 05 > Thông tin đã phê duyệt	78	282	161	0b6c3f46080cbecc0b8ff9c4f40834978243ee9b59cbd045b599367ccfc896c5	heading-chunks-2000-v1	nfc-v1
gold-006	version-gold-006-v1	e649536e80bd0e9857db1adb85d327058c130175411b962f239a5fdd8703297b	0	07df0bc8dec6add9fb8efc66029aced7c7bbfef91688763ec71aedecaa5dc8da	Hồ sơ bảo trì thiết bị số 06 > Thông tin đã phê duyệt	77	274	157	5258f1d277f85d820eb3ba0f4552b1d46a9e8424695df70046ffb3ef16f3bb71	heading-chunks-2000-v1	nfc-v1
gold-007	version-gold-007-v1	8a0b7471485c82b853affa0b61f9fd4ae9ea6c272a7d8cd828e99750de89ef10	0	b26da1ad49f1611fe6927b0418e5b28680cc2434ed43560ab4498621c313c39b	Hồ sơ xử lý sự cố số 07 > Thông tin đã phê duyệt	72	276	165	ae28e5cb56ee88f1c4914977e7f1e44b763a3c153d51a450f628e8207d345641	heading-chunks-2000-v1	nfc-v1
gold-008	version-gold-008-v1	d3e89f8f3c0554013892f0f8bf1f8f648e8f479a5115bbdf802c58c2f419f53d	0	9d5fae2a9a8fd37d9f70dfbb23983f344abe176e9ba5e9b00ab5f6aa011733b4	Hồ sơ đối soát thanh toán số 08 > Thông tin đã phê duyệt	78	274	155	776b16b1ff7662ce330b815d46066cbc5d8847a00a6e75504bc46cf4adc24234	heading-chunks-2000-v1	nfc-v1
gold-009	version-gold-009-v1	c5d5bf2f21d24ce034b5044e6d13614a16a85b22f6491547329d8115af58eb4b	0	5c968e283c08be22ca76d3a95b4d6711bd76e862507d139f9027a194eb51307a	Hồ sơ lưu trữ hồ sơ số 09 > Thông tin đã phê duyệt	73	275	160	c0a637ba6c669307a9558546d2de3d84ba09e51405661395478af4c868b2d04e	heading-chunks-2000-v1	nfc-v1
gold-010	version-gold-010-v1	124b225ede0aed56672904393ec66f81b17d4b97049e6f10a57eca5638342ad0	0	1387f7e5376c9664e6e9b79667dd3045520927aaae94571f81341886ca7ab0d1	Hồ sơ quy trình mua sắm số 10 > Thông tin đã phê duyệt	74	278	161	4ccb5fd50115a28426d2769bd412323e95edf23acb4891611f7c715f54157f36	heading-chunks-2000-v1	nfc-v1
gold-011	version-gold-011-v1	3541a53d4bdeaff13a6f23e21ef8c7d97827983e3ee86b798958f363e4c4fc07	0	305b46929163d30bb4e1a6b76b159ca311d72d9c3e26082c6f94c637436ba586	Hồ sơ kiểm soát truy cập số 11 > Thông tin đã phê duyệt	77	274	157	05d0b8b9d12695abcb36c5b07efb2fbc7c0c9c4ec917c0a63ef593ff43a5fa47	heading-chunks-2000-v1	nfc-v1
gold-012	version-gold-012-v1	ade6c8ff006d8c9c40b9ecadb762e4a3608485a9b273e7804271d14b2e8e2317	0	993ea7827931a240b7271c31b099962c73e223f31a4f595b3b4da831866922f0	Hồ sơ đào tạo nhân sự số 12 > Thông tin đã phê duyệt	76	280	165	eb073e8bc1f9d4084548b87fa681f67837cf460db3a333f657506a5a745e9eef	heading-chunks-2000-v1	nfc-v1
gold-013	version-gold-013-v1	31fa1fe498076d6a8bfaaa9dac54ae27f281d2591d388a726b4618a1292f2bb5	0	765d6f139388dafb316584c7fd3a546e1a6f372f436a3c6ddfa2867d61416504	Hồ sơ sao lưu dữ liệu số 13 > Thông tin đã phê duyệt	74	270	155	2ce64360986a9853654a55e9b9996d04ae59b6bf83a2d8bfb9a44b98532ee94e	heading-chunks-2000-v1	nfc-v1
gold-014	version-gold-014-v1	7a89066b2f384a91c9356e5b5abb1e097602717bf079596454d3b914128d7321	0	9b2d71c9f426ed758ecf8fc20d9b3a28e86fbb4d00150a6f87c35bca1ef548cf	Hồ sơ quản lý hợp đồng số 14 > Thông tin đã phê duyệt	78	280	160	ce5237e580c4a2e14e94b2443b55ed9b20fee3f5f87142bbf73da085c77b7b86	heading-chunks-2000-v1	nfc-v1
gold-015	version-gold-015-v1	a44007574ff5988d7c6a3c01abdf4427182d1be59045b025106fc1eff07b7c77	0	c297937254f85b71415c95320c6dab322983e7e9849d1a4270b680cfd1ac2cb3	Hồ sơ bảo trì thiết bị số 15 > Thông tin đã phê duyệt	77	281	161	13318d6471501964ff07e3233cf9bb33cc820b6013f50183e87cc40ded4c2fb6	heading-chunks-2000-v1	nfc-v1
gold-016	version-gold-016-v1	c201c45b0d1b86d7ec7ef9893781c24f4be2a20eba98600452ce1e3a1ecceee6	0	d4fb3d9bdbcc2781f4caaac3968b49979f790370b591efbd64ca013bfb083480	Hồ sơ xử lý sự cố số 16 > Thông tin đã phê duyệt	72	269	157	d018eaefb3397c8393035173365ef31aeb645a97077a433dfd93645da3900522	heading-chunks-2000-v1	nfc-v1
gold-017	version-gold-017-v1	1bbc0afd3d64cd5064c9875635335e30816b00e2485877cc7a015993f7566c74	0	1903c51bd7292c6380267b46024f4e18bd61406ce1d159c3cbecf76fba5df5a5	Hồ sơ đối soát thanh toán số 17 > Thông tin đã phê duyệt	78	282	165	c7dad1966b48c7a7114a24ef2496be2ae5e0ff5bc53a134c1d7fd5bdadd007a6	heading-chunks-2000-v1	nfc-v1
gold-018	version-gold-018-v1	24cca33224c183adb0800d835c8f9232545335370afaa8adf3f98f59d3ea5605	0	10f034ff8ba2d692b20e06f7088de192a4fef9eedcc47fe1788e96a93499610b	Hồ sơ lưu trữ hồ sơ số 18 > Thông tin đã phê duyệt	73	269	155	dcdd1df65248cc9a3b45044b7841300105e4ad1aea3232da0462004b73e7e577	heading-chunks-2000-v1	nfc-v1
gold-019	version-gold-019-v1	ebcec2f510d0332bee2ac7ad4b52346aa6fb4ef5ca75286c99554b84515720b2	0	9f97c3228e538217fa42a7311ac3c30a157ca307d27019cecd0bc16f81fe562a	Hồ sơ quy trình mua sắm số 19 > Thông tin đã phê duyệt	74	276	160	93c4eadbf4939414216503c352c75a81c6ffc01098fba6b396df2446ef683477	heading-chunks-2000-v1	nfc-v1
gold-020	version-gold-020-v1	56ad54f8162abb318d78c4ce7cfe7ced20c6aaf1bed594792f11523e15629da7	0	58830b9734cf84022e6a4d807891921be9c9ad50500bd0da4bf77f788cbff70b	Hồ sơ kiểm soát truy cập số 20 > Thông tin đã phê duyệt	77	281	161	083dc62bfdc144ea453a6ca38507713f5e1f786256c628657ad6523dc99a6f6f	heading-chunks-2000-v1	nfc-v1
gold-021	version-gold-021-v1	3576cd98c8a3017a1f608c79b3d86b06a75098f8623a4f9df709a34ce7d87dbe	0	bd5b93b3d42e07936468958b060be7cf49542ac11af5aa4643edb55342db146a	Hồ sơ đào tạo nhân sự số 21 > Thông tin đã phê duyệt	76	273	157	7e9a08cdff6787926f41b8c37621f75a79c0b9e32c2351050805e97bc1f3dd25	heading-chunks-2000-v1	nfc-v1
gold-022	version-gold-022-v1	0dab53f9afa94e913b95475a0f56ae9fb18158925c321f99d254ffbe5d7d5c3b	0	8ed9e5e6bc942e63942756221e3b72bbbae78c3458ac823bab2d9678e563aa84	Hồ sơ sao lưu dữ liệu số 22 > Thông tin đã phê duyệt	74	278	165	a7bd728a43f68c485782d1eae8373d76ea07fb5b418cdc9de1b7adf23479181f	heading-chunks-2000-v1	nfc-v1
gold-025	version-gold-025-v1	a8b093c35d470f8765564789eafb907292a786b1a942632ff7aafaf5aa697f0f	0	3cb06c6540b6d42ddea7c286375f66770e645936a99adc755da5800e161ef564	Hồ sơ xử lý sự cố số 25 > Thông tin đã phê duyệt	72	276	161	026ae79c89819e7f16f5c3a729d6368bb9f4c76c2c7753af0e5c34f97a9bd4f2	heading-chunks-2000-v1	nfc-v1
gold-026	version-gold-026-v1	ca1135a7db7c7b743182e7b85739294e5ee92d169245f01cf7d7013f52d93dec	0	c82c277fc3cfdc0412de9b6e9d0704d2c0e27e15eff5b79a7346381d93f2ac8f	Hồ sơ đối soát thanh toán số 26 > Thông tin đã phê duyệt	78	275	157	f1d96cb8f6e98708d7f1f38a203b3e5d4a16f3219aa590eafd4c99f3a5e9256b	heading-chunks-2000-v1	nfc-v1
gold-027	version-gold-027-v1	c5708c8e97defa66f4fa50c72a993e1ed4deba727d0e88fb25125a38c68df75f	0	ce46df11247edee37abc57d88018544ef816c6ee608b340aa1639cb2a8fa52f5	Hồ sơ lưu trữ hồ sơ số 27 > Thông tin đã phê duyệt	73	277	165	aba8349ec72aae5e728f04893830a7dc5ed0e1fdcfef26d59d72db709843ac00	heading-chunks-2000-v1	nfc-v1
gold-budget-v1	version-budget-v1	6fe92c04fb16a4ffaf73c6bd4d7faee08cf8f18191c19f700442768d5e00635a	0	593c558dddd4220ba5afc284b7f94c7c36a4f6e29a16ba2075911bfd4b53ca4e	Quy định kinh phí chuyển đổi số — phiên bản 1 > Thông tin đã phê duyệt	98	362	208	a412cdceeb8c5ead234889eb03f89ec9b7ed8c5ecb5ded63e63481b564b387f2	heading-chunks-2000-v1	nfc-v1
gold-budget-v2	version-budget-v2	bf6cd6f9b399e265090079365bbe5b646a2d08eaaafc9d167f519fce93c5e996	0	67a5e1082b826affa2d6246558d5a395e5908523509a43dc6ccd7a047ddace70	Quy định kinh phí chuyển đổi số — phiên bản 2 > Thông tin đã phê duyệt	98	373	221	eb949031e4c17992d92c83307f29681baf6464052a2e4a1368cb55539f7714d7	heading-chunks-2000-v1	nfc-v1
gold-design-v1	version-design-v1	061cffc8b31913b0c03fbcc88c0cb23e2244bb482ff4e3918da2f354bfd63e30	0	fc812e76632cf9a2c9a810f47c72547c6a53a37c35e05c9e6d24d5efd10e536a	Thiết kế phân bổ kinh phí — phiên bản 1 > Thông tin đã phê duyệt	89	429	266	44482fafadbd64b2ab9800a236629e14ccfb3d6e3e1e4a8bd184006acbce1df2	heading-chunks-2000-v1	nfc-v1
gold-design-v2	version-design-v2	e785e1a12674fefe647de542327225196df6671fa4f715c21385776073964ad6	0	c9c144849f8310ca916843f2fbacf20dba4c5245f7830d6758fec65c4d7aad21	Thiết kế phân bổ kinh phí — phiên bản 2 > Thông tin đã phê duyệt	89	410	250	08e86101cfc9195d1f29dd51365fe8dd283bd3494cc97947e974e0df5d275b58	heading-chunks-2000-v1	nfc-v1
